turn,cardColor,cardType,quartile
1,GREEN,DRAW4,1
2,YELLOW,Number,1
3,WILD,DRAW1,1
4,YELLOW,REVERSE,1
5,YELLOW,Number,1
6,WILD,DRAW1,1
7,GREEN,DRAW2,2
8,YELLOW,Number,2
9,WILD,DRAW1,2
10,GREEN,REVERSE,2
11,WILD,DRAW1,2
12,GREEN,Number,2
13,WILD,DRAW1,3
14,GREEN,Number,3
15,WILD,DRAW1,3
16,GREEN,Number,3
17,GREEN,STACKINGNumber,3
18,WILD,DRAW1,3
19,WILD,DRAW1,4
20,GREEN,Number,4
21,YELLOW,SKIP,4
22,WILD,DRAW1,4
23,RED,DRAW2,4
24,YELLOW,REVERSE,4
25,GREEN,Number,4
1,BLUE,STACKINGDRAW2,1
2,BLUE,DRAW4,1
3,GREEN,DRAW4,1
4,WILD,DRAW1,1
5,BLUE,STACKINGNumber,1
6,BLUE,STACKINGNumber,2
7,YELLOW,Number,2
8,BLUE,Number,2
9,YELLOW,Number,2
10,WILD,DRAW1,2
11,WILD,DRAW1,3
12,WILD,DRAW1,3
13,BLUE,STACKINGDRAW2,3
14,GREEN,SKIP,3
15,WILD,DRAW1,3
16,WILD,DRAW1,4
17,RED,Number,4
18,BLUE,Number,4
19,GREEN,Number,4
20,BLUE,STACKINGREVERSE,4
1,WILD,DRAW1,1
2,GREEN,Number,1
3,BLUE,REVERSE,1
4,BLUE,Number,1
5,RED,Number,2
6,RED,Number,2
7,WILD,DRAW1,2
8,GREEN,Number,2
9,WILD,DRAW1,2
10,RED,SELECTCOLOR,3
11,WILD,DRAW1,3
12,RED,SKIP,3
13,WILD,DRAW1,3
14,BLUE,Number,3
15,YELLOW,Number,4
16,WILD,DRAW1,4
17,BLUE,Number,4
18,BLUE,Number,4
19,BLUE,Number,4
1,GREEN,DRAW4,1
2,GREEN,STACKINGREVERSE,1
3,WILD,DRAW1,2
4,WILD,DRAW1,2
5,WILD,DRAW1,2
6,GREEN,STACKINGNumber,3
7,BLUE,STACKINGDRAW2,3
8,BLUE,STACKINGNumber,3
9,WILD,DRAW1,4
10,GREEN,Number,4
11,RED,Number,4
1,RED,Number,1
2,GREEN,STACKINGNumber,1
3,BLUE,Number,1
4,GREEN,STACKINGNumber,1
5,YELLOW,Number,1
6,WILD,DRAW1,1
7,WILD,DRAW1,1
8,RED,Number,1
9,WILD,DRAW1,1
10,WILD,DRAW1,2
11,YELLOW,Number,2
12,GREEN,STACKINGDRAW2,2
13,GREEN,STACKINGNumber,2
14,WILD,DRAW1,2
15,WILD,DRAW1,2
16,WILD,DRAW1,2
17,RED,Number,2
18,WILD,DRAW1,2
19,RED,Number,3
20,RED,DRAW2,3
21,WILD,DRAW1,3
22,WILD,DRAW1,3
23,BLUE,Number,3
24,BLUE,STACKINGNumber,3
25,WILD,DRAW1,3
26,YELLOW,Number,3
27,WILD,DRAW1,3
28,YELLOW,Number,4
29,WILD,DRAW1,4
30,WILD,DRAW1,4
31,WILD,DRAW1,4
32,RED,Number,4
33,BLUE,Number,4
34,WILD,DRAW1,4
35,RED,SELECTCOLOR,4
36,RED,Number,4
37,RED,Number,4
1,RED,Number,1
2,YELLOW,Number,1
3,WILD,DRAW1,1
4,GREEN,Number,2
5,GREEN,DRAW4,2
6,GREEN,Number,2
7,YELLOW,Number,2
8,GREEN,Number,3
9,RED,Number,3
10,WILD,DRAW1,3
11,YELLOW,Number,3
12,RED,Number,4
13,WILD,DRAW1,4
14,BLUE,Number,4
15,YELLOW,Number,4
1,WILD,DRAW1,1
2,WILD,DRAW1,1
3,BLUE,Number,2
4,GREEN,Number,2
5,WILD,DRAW1,2
6,YELLOW,Number,3
7,YELLOW,Number,3
8,GREEN,STACKINGNumber,3
9,GREEN,STACKINGREVERSE,4
10,GREEN,Number,4
11,GREEN,Number,4
1,BLUE,STACKINGNumber,1
2,YELLOW,DRAW4,1
3,BLUE,STACKINGREVERSE,1
4,BLUE,DRAW2,1
5,WILD,DRAW1,1
6,WILD,DRAW1,1
7,YELLOW,Number,1
8,GREEN,STACKINGNumber,1
9,GREEN,STACKINGNumber,2
10,RED,Number,2
11,GREEN,Number,2
12,WILD,DRAW1,2
13,YELLOW,Number,2
14,WILD,DRAW1,2
15,WILD,DRAW1,2
16,WILD,DRAW1,2
17,YELLOW,Number,3
18,YELLOW,DRAW2,3
19,WILD,DRAW1,3
20,WILD,DRAW1,3
21,BLUE,Number,3
22,BLUE,Number,3
23,WILD,DRAW1,3
24,BLUE,STACKINGSKIP,3
25,WILD,DRAW1,4
26,WILD,DRAW1,4
27,WILD,DRAW1,4
28,BLUE,Number,4
29,WILD,DRAW1,4
30,BLUE,STACKINGNumber,4
31,RED,Number,4
32,RED,Number,4
1,RED,REVERSE,1
2,BLUE,REVERSE,1
3,GREEN,Number,1
4,GREEN,SELECTCOLOR,1
5,YELLOW,Number,2
6,YELLOW,Number,2
7,YELLOW,Number,2
8,RED,DRAW2,2
9,BLUE,STACKINGNumber,3
10,WILD,DRAW1,3
11,WILD,DRAW1,3
12,WILD,DRAW1,3
13,GREEN,Number,4
14,GREEN,Number,4
15,GREEN,Number,4
16,BLUE,Number,4
1,GREEN,Number,1
2,BLUE,Number,1
3,GREEN,Number,1
4,WILD,DRAW1,2
5,BLUE,STACKINGNumber,2
6,GREEN,Number,2
7,RED,REVERSE,3
8,WILD,DRAW1,3
9,BLUE,Number,3
10,WILD,DRAW1,4
11,YELLOW,Number,4
12,YELLOW,Number,4
