Turn;CardColor;CardType
1;BLUE;TWO
1;BLUE;TWO
2;GREEN;DRAW4
3;BLUE;SKIP
3;RED;SKIP
4;GREEN;SELECTCOLOR
5;WILD;DRAW1
6;BLUE;ZERO
7;WILD;DRAW1
8;WILD;DRAW1
9;WILD;DRAW1
10;GREEN;NINE
11;BLUE;ONE
12;WILD;DRAW1
13;BLUE;NINE
14;WILD;DRAW1
15;YELLOW;FOUR
16;GREEN;TWO
17;GREEN;DRAW2
17;YELLOW;DRAW2
18;GREEN;SIX
18;ENDOFGAME;0
1;GREEN;SEVEN
1;YELLOW;SEVEN
2;YELLOW;REVERSE
3;BLUE;FOUR
4;BLUE;SIX
4;RED;SIX
4;RED;SIX
4;YELLOW;SIX
5;YELLOW;ONE
5;YELLOW;ONE
6;WILD;DRAW1
7;WILD;DRAW1
8;BLUE;EIGHT
8;GREEN;EIGHT
8;GREEN;EIGHT
8;YELLOW;EIGHT
9;BLUE;TWO
9;GREEN;TWO
10;GREEN;ZERO
11;BLUE;THREE
11;GREEN;THREE
12;BLUE;SEVEN
12;RED;SEVEN
12;ENDOFGAME;1
1;RED;TWO
2;BLUE;SIX
2;RED;SIX
2;YELLOW;SIX
3;YELLOW;SKIP
4;WILD;DRAW1
5;BLUE;EIGHT
5;RED;EIGHT
6;RED;THREE
7;RED;FIVE
8;WILD;DRAW1
9;YELLOW;ZERO
10;WILD;DRAW1
11;RED;ONE
12;BLUE;DRAW2
13;BLUE;SEVEN
13;GREEN;SEVEN
13;RED;SEVEN
14;GREEN;ONE
14;ENDOFGAME;2
1;RED;DRAW2
2;YELLOW;SKIP
3;BLUE;TWO
4;BLUE;EIGHT
5;GREEN;FIVE
6;WILD;DRAW1
7;RED;ONE
7;YELLOW;ONE
8;RED;SEVEN
8;YELLOW;SEVEN
9;GREEN;REVERSE
10;WILD;DRAW1
11;RED;FOUR
12;WILD;DRAW1
13;WILD;DRAW1
14;WILD;DRAW1
15;YELLOW;SKIP
16;WILD;DRAW1
17;RED;THREE
18;RED;TWO
19;GREEN;ZERO
20;WILD;DRAW1
21;WILD;DRAW1
21;ENDOFGAME;3
1;RED;NINE
2;WILD;DRAW1
3;BLUE;DRAW2
3;GREEN;DRAW2
3;YELLOW;DRAW2
4;BLUE;ZERO
5;BLUE;TWO
6;RED;REVERSE
7;WILD;DRAW1
8;GREEN;SKIP
9;GREEN;NINE
10;GREEN;ONE
11;WILD;DRAW1
12;BLUE;FOUR
12;YELLOW;FOUR
13;WILD;DRAW1
14;WILD;DRAW1
15;YELLOW;SIX
16;YELLOW;ONE
17;YELLOW;FIVE
18;WILD;DRAW1
19;WILD;DRAW1
20;WILD;DRAW1
21;YELLOW;REVERSE
21;YELLOW;REVERSE
22;YELLOW;SELECTCOLOR
23;RED;FOUR
24;YELLOW;TWO
25;YELLOW;ONE
26;BLUE;SEVEN
27;BLUE;NINE
27;ENDOFGAME;4
1;GREEN;FOUR
1;YELLOW;FOUR
2;YELLOW;SELECTCOLOR
3;YELLOW;THREE
4;YELLOW;ZERO
5;YELLOW;ONE
6;WILD;DRAW1
7;WILD;DRAW1
8;YELLOW;SELECTCOLOR
9;WILD;DRAW1
10;YELLOW;TWO
11;RED;SEVEN
12;BLUE;DRAW4
12;ENDOFGAME;5
1;BLUE;THREE
2;RED;ZERO
3;RED;ONE
4;BLUE;SEVEN
4;GREEN;SEVEN
5;BLUE;ONE
6;YELLOW;FIVE
7;BLUE;FOUR
8;YELLOW;DRAW4
8;ENDOFGAME;6
1;GREEN;ONE
2;GREEN;SIX
3;YELLOW;REVERSE
3;YELLOW;REVERSE
4;YELLOW;THREE
5;GREEN;ONE
6;BLUE;TWO
6;GREEN;TWO
7;WILD;DRAW1
8;WILD;DRAW1
9;WILD;DRAW1
10;BLUE;SKIP
10;RED;SKIP
10;YELLOW;SKIP
11;RED;ZERO
11;YELLOW;ZERO
12;WILD;DRAW1
13;RED;THREE
14;WILD;DRAW1
15;WILD;DRAW1
16;RED;SELECTCOLOR
17;RED;ONE
18;GREEN;FOUR
